source_key,cefr_level,thai_script,paiboon,english_gloss,part_of_speech,register,default_theme,is_multifunctional,usage_note,source_note
hello,A1,สวัสดี,sà-wàt-dii,hello,particle,formal,greetings,false,,ai_a1_master_v3
thank_you,A1,ขอบคุณ,kɔ̀ɔp-kun,thank you,particle,formal,greetings,false,,ai_a1_master_v3
yes,A1,ใช่,châi,yes,particle,formal,essentials,true,also used to confirm or agree,ai_a1_master_v3
no,A1,ไม่,mâi,no,adverb,formal,essentials,true,basic negation; also used in answers and before verbs or adjectives,ai_a1_master_v3
excuse_me,A1,ขอโทษ,kɔ̌ɔ-tôot,excuse me,particle,formal,greetings,true,used to apologize and to get attention politely,ai_a1_master_v3
goodbye,A1,ลาก่อน,laa-gɔ̀ɔn,goodbye,particle,formal,greetings,false,,ai_a1_master_v3
i,A1,ฉัน,chǎn,I,pronoun,formal,people,false,polite first-person pronoun often used by women; male learners may later learn ผม,ai_a1_master_v3
you,A1,คุณ,kun,you,pronoun,formal,people,false,,ai_a1_master_v3
he_she_they,A1,เขา,kǎo,he or she,pronoun,formal,people,true,also commonly refers to they depending on context,ai_a1_master_v3
we,A1,เรา,rao,we,pronoun,formal,people,true,also used in some casual speech as I,ai_a1_master_v3
they,A1,พวกเขา,pûuak-kǎo,they,pronoun,formal,people,false,,ai_a1_master_v3
this,A1,นี่,nîi,this,pronoun,formal,questions,true,used for this person or thing; also in pointing and identification,ai_a1_master_v3
that,A1,นั่น,nân,that,pronoun,formal,questions,true,used for that person or thing; also in pointing and identification,ai_a1_master_v3
what,A1,อะไร,à-rai,what,question_word,formal,questions,false,,ai_a1_master_v3
who,A1,ใคร,krai,who,question_word,formal,questions,false,,ai_a1_master_v3
where,A1,ที่ไหน,tîi-nǎi,where,question_word,formal,questions,false,,ai_a1_master_v3
when,A1,เมื่อไร,mʉ̂a-rai,when,question_word,formal,questions,false,,ai_a1_master_v3
how,A1,อย่างไร,yàang-rai,how,question_word,formal,questions,false,,ai_a1_master_v3
how_much,A1,เท่าไร,tâo-rai,how much,question_word,formal,questions,true,used for price quantity or amount,ai_a1_master_v3
which,A1,ไหน,nǎi,which,question_word,formal,questions,true,also used in simple where-like questions depending on pattern,ai_a1_master_v3
name,A1,ชื่อ,chʉ̂ʉ,name,noun,formal,people,true,noun name; also used as be called in self-introductions,ai_a1_master_v3
man,A1,ผู้ชาย,pûu-chaai,man,noun,formal,people,false,,ai_a1_master_v3
woman,A1,ผู้หญิง,pûu-yǐng,woman,noun,formal,people,false,,ai_a1_master_v3
child,A1,เด็ก,dèk,child,noun,formal,people,false,,ai_a1_master_v3
friend,A1,เพื่อน,pʉ̂an,friend,noun,formal,people,false,,ai_a1_master_v3
teacher,A1,ครู,kruu,teacher,noun,formal,school,false,,ai_a1_master_v3
student,A1,นักเรียน,nák-riian,student,noun,formal,school,false,,ai_a1_master_v3
doctor,A1,หมอ,mɔ̌ɔ,doctor,noun,formal,health,false,,ai_a1_master_v3
mother,A1,แม่,mâae,mother,noun,formal,family,false,,ai_a1_master_v3
